31.88,656.4,273.4,5094,555.3,332.8,4.7274,15518,197.8,1001.0
33.52,666.0,272.4,5118,553.5,332.9,4.7226,15550,197.1,1018.0
33.56,665.6,274.3,5115,555.3,339.4,4.7334,15544,196.7,1030.4
35.12,662.8,278.2,5130,551.7,339.0,4.7352,15412,197.5,1027.6
34.12,664.0,277.8,5031,553.05,333.4,4.7148,15374,197.6,1031.6
34.6,659.2,271.5,4974,556.11,333.9,4.7214,15358,195.3,1048.4
34.72,668.8,276.5,4965,568.17,335.0,4.725,15410,192.1,1038.0
34.96,657.6,271.52,5004,570.6,335.0,4.7118,15406,201.0,1034.0
34.76,668.0,282.0,5055,557.1,331.1,4.7076,15450,195.2,1051.4
35.08,656.0,283.8,5052,543.15,332.0,4.716,15568,193.2,1067.0
33.2,648.4,281.1,4920,526.5,327.5,4.731,15546,196.5,1059.2
32.8,646.4,281.6,4884,540.0,329.4,4.7334,15504,190.5,1059.2
30.68,646.4,278.0,4950,536.4,340.0,4.7508,15586,187.7,1052.8
31.0,641.2,271.8,4809,540.54,333.9,4.7418,15610,190.0,1058.0
32.16,636.8,267.5,4770,553.5,335.6,4.7646,15594,187.5,1072.0
32.6,643.2,267.5,4800,550.35,335.6,4.7754,15450,189.2,1078.0
33.12,642.8,270.0,4680,555.3,336.2,4.7808,15474,189.0,1072.0
32.8,632.56,267.0,4734,553.5,338.8,4.7826,15498,191.0,1070.8
33.92,635.6,264.2,4782,554.85,335.0,4.7808,15562,192.0,1066.8
34.2,644.0,263.0,4731,549.0,333.4,4.785,15616,186.1,1073.2
33.2,648.0,269.0,4755,543.15,331.0,4.782,15604,186.5,1077.6
33.48,650.0,267.6,4650,549.45,328.2,4.7664,15646,186.7,1076.4
33.16,652.4,269.0,4725,556.65,335.6,4.7736,15720,187.2,1056.8
33.56,656.0,272.0,4515,582.75,338.5,4.7742,15780,187.0,1060.0
32.84,662.0,271.0,4500,567.9,335.7,4.7562,15836,188.8,1067.2
32.64,661.2,270.0,4500,572.49,330.0,4.776,15800,186.7,1062.0
34.32,660.0,267.9,4641,574.65,329.8,4.7808,15784,189.1,1078.0
34.8,655.2,261.5,4635,572.85,337.0,4.7856,15674,188.2,1091.4
34.8,655.2,264.22,4683,567.45,321.0,4.7868,15816,184.6,1079.6
34.36,658.4,263.4,4644,564.3,326.0,4.788,15820,188.0,1084.8
36.0,658.4,265.0,4731,572.4,327.0,4.7988,15842,185.7,1083.6
36.0,659.6,268.0,4797,565.2,330.0,4.8072,15980,185.7,1068.8
35.12,658.0,266.4,4791,570.6,331.8,4.8108,15984,186.3,1054.0
35.64,664.0,268.6,4821,562.5,330.0,4.815,16180,184.5,1029.6
36.2,664.4,269.96,4704,558.45,329.6,4.8372,16128,187.8,1044.4
36.16,663.2,269.7,4734,563.85,334.1,4.8372,16066,189.0,1042.4
35.92,662.0,266.3,4785,570.6,333.4,4.8438,16212,189.5,1031.2
35.8,652.8,268.5,4734,569.7,335.4,4.8444,16236,187.8,1031.0
34.4,634.8,270.2,4665,551.25,341.2,4.812,16130,193.6,1030.4
33.8,636.8,266.84,4593,547.2,338.5,4.8252,16074,195.0,1040.8
34.48,637.2,267.5,4677,552.15,342.0,4.8144,15962,194.8,1072.0
34.6,637.6,266.6,4608,553.68,340.6,4.7982,16010,193.8,1072.0
35.0,642.0,266.3,4617,557.1,341.8,4.8168,15852,193.4,1083.2
34.88,646.8,266.6,4560,561.15,337.5,4.8318,15902,195.2,1083.6
35.12,638.8,266.8,4536,569.7,339.5,4.845,15872,192.5,1090.6
35.12,636.4,268.78,4575,567.45,339.2,4.8348,15936,192.3,1068.0
34.6,634.4,271.2,4590,566.1,339.1,4.857,16216,191.4,1039.0
34.24,637.6,270.2,4515,558.9,340.2,4.8624,16184,192.0,1032.0
34.52,634.0,270.0,4572,567.9,343.6,4.8582,16168,190.8,1042.0
34.92,631.6,269.2,4671,571.5,342.5,4.8642,16226,189.1,1030.6
34.52,634.4,269.2,4620,577.26,341.0,4.866,16184,190.7,1031.6
